"",,,suppliers and lack of it can have non-,,,,,,,,
"",,,compliance and reputational risk for,,,,,,,,
"",,,the Company,,,,,,,,
7,Human Rights,Risk,Responsibility to identify and manage,,,,,Have Human Rights,policy and,,Negative
"",& labour,,Human Rights risks,in its operation,,,,detailed process set along with due,,,
"",,,and supply chain and,mitigate,from,,,diligence procedures,to evaluate,,
"",,,adverse risks and,consequential,,,,Human Rights risks at all levels of,,,
"",,,damages,,,,,operations,,,
8,Health and,Risk,Managing safety,and health,,is,,Several initiatives and,programs,,Negative
"",Safety,,an integral part,of managing,,a,,have been insisted,to address all,,
"",,,business. Businesses,need to,do,a,,aspects of managing,health and,,
"",,,risk assessment to find out about the,,,,,safety and closely,monitored for,,
"",,,hazards and risks in their workplace(s),,,,,continual improvements.,"The ""ABB",,
"",,,and put measures,in place,,to,,"Way"". The Group HSE/SA",global,,
"",,,effectively control,them to ensure,,,,management system,continued to,,
"",,,these hazards and risks cannot cause,,,,,be a key element for its sustainability,,,
"",,,harm to employees and workers.,,,,,governance framework,and being,,
"",,,,,,,,the single standard,system based,,
"",,,,,,,,on internationally,recognized,,
"",,,,,,,,"sustainability standards,",principles,,
"",,,,,,,,and commitments,including ISO,,
"",,,,,,,,45001 (OHSMS) and ISO 14001 (EMS,,,
9,Ethics,Risk,Ethical behavior is,acting in,ways,,,ABB has a very stringent policy on,,,Negative
S.,Material issue,Indicate,Rationale for identifying the risk/,"In case of risk, approach to adapt",Financial implications of
No,identified,whether risk,opportunity,or mitigate,the risk or opportunity
"",,or opportunity,,,(Indicate positive or
"",,(R/O),,,negative implications)
"",,Medium High,,,,,,,,
10,Employee,Opportunity Employee well-being is,critical,,,Well-being initiatives have,been,,,Positive
"",well-being,to the Business operations,,and,,undertaken for employees,and,,,
"",,productivity and overall responsibility,,,,workers. Some of the flagship,,,,
"",,of the Company to manage well-being,,,,programs include executive,,,,
"",,aspects of its critical stakeholder,,,,"medical check-up for employees,",,,,
"",,,,,,wellness and mental health external,,,,
"",,,,,,"continuous services, health related",,,,
"",,,,,,services at Occupational,Health,,,
"",,,,,,centers,,,,
11,Business,Risk Business resilience is an enterprise-,,,,The Company has a,crisis,,,Negative
"",resilience,wide aspect that encompasses crisis,,,,management tool and protocol and,,,,
"",,"management and business continuity,",,,,systems to address and manage,,,,
"",,and the need to respond to all types,,,,crisis including disaster aspects,,,,
"",,"of risk that an organisation may face,",,,,that has significant consequences.,,,,
"",,"from cyber threat to natural disaster,",,,,,,,,
"",,and much else besides.,,,,,,,,
12,Diversity and,Opportunity The company is powered,by,the,,The company has D&I focus,with,,,Positive
"",Inclusion,"diverse perspectives, skill",sets,and,,actionable plan to include diversity,,,,
"",,life experiences of their employees.,,,,and inclusion in every way The ABB,,,,
"",,To tap into the full potential,,of,,Sustainability targets doubling,,,,
"",,"human diversity, the company",,looks,,the number of women in,senior,,,
"",,at diversity and create an,inclusive,,,"management roles to 25 percent,",,,,
"",,working culture underpinned,,by a,,and to have a comprehensive,,,,
"",,"fundamental sense of belonging,",,,,diversity and inclusion framework.,,,,
"",,"fairness and equity, enabling",people,,,,,,,
"",,to bring their ‘full self’ to work and,,,,,,,,
"",,achieve operational efficiency,,,,,,,,
13,Data privacy,Risk Risk as non-compliance,aspects.,,,At ABB respecting personal,data,,,Negative
